incident_id,url,url_length,path_length,subdomain_count,is_https,domain_length,has_hyphen,digit_count,cluster,cluster_name,pca1,pca2
openphish_1223,http://fapaktoccwcyebmx-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1224,http://oyqwakbxaewqvjfv-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1225,http://gezxzeydwnuwjtfj-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1226,http://yomzjhqibscwczpl-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1227,http://oxlzsykzmocoduoa-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1228,http://oftsqcpsenmcwogu-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1229,http://gkfipvucgaijttwx-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1230,http://iwrwefohfovjdmhi-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1231,http://ofuiqhadsbquyxmz-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1232,http://xmyuhjszwdnufkfd-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1233,http://rfrrwhievcujpbog-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1234,http://ftpqbnsiahjyuyeh-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1235,http://geqljpwahdsopgkl-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
